Startup_Name,Industry_Vertical,City_Location,Investors_Name,Investment_Type,Amount_In_USD
HealthAssure,Health Care,Mumbai,Blume Ventures,Series A,2500000.00
House of Msasaba,Luxury Label,Mumbai,Binny Bansal,Series A,1000000.00
Board Infinity,EdTech,Chembur,Multiple Angel Investors,Angel Round,319605.00
NoBroker,E-Commerce,Bengaluru,General Atlantic,Series C,51000000.00
Bira91,Food and Beverage,New Delhi,Anicut Capital,Debt Funding,10000000.00
FabHotels,E-Commerce,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",,4889975.54
Avail Finance,Finance,Bengaluru,Matrix Partners,Series A,9000000.00
BharatPe,Finance,New Delhi,Insight Partners,Series B,75000000.00
Recykal,Waste Management Service,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,26000000.00
Agara Labs,Deep-Tech,Bengaluru,Blume Ventures and RTP Global,pre-Series A,2500000.00
Sistema.bio,Agriculture,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",,2739034.68
Chakr Innovation,Energy,New Delhi,IAN Fund,Series A,26000000.00
Pratilipi,Digital Media,Bengaluru,Qiming Venture Partners,Series B,15109500.00
Bolo App,Digital Media,Bengaluru,Nexus Venture Partners,Seed Funding,430200.00
OkCredit,FinTech,Haryana,Tiger Global Management,Series A,15500000.00
Biz2Credit,FinTech,New York,WestBridge Capital,Series B,52000000.00
Vogo Automotive Pvt. Ltd.,Transportation,Karnataka,Alteria Capital,Debt Funding,3584000.00
Leegality,Services,Mumbai/Bengaluru,Mumbai Angels,Series A,3400000.00
Ola Electric,Transport,Bengaluru,Tata Sons,Series A,0.00
Saahas Zero Waste,Waste Management Service,Bengaluru,C4D Partners,Venture - Series 0,868600.00
StyleDotMe,E-commerce,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,0.00
BlackBuck,Transport,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,150000000.00
Zenoti,Saas,Hyderabad,Tiger Global Management,Series C,50000000.00
Ather Energy,Automobile,Bengaluru,Sachin Bansal,Series C,51000000.00
FreshVnF,Agtech,Mumbai,Equanimity Ventures,Seed Round,140000000.00
GlowRoad,E-commerce,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,11500000.00
Bira91,Food and Beverage,New Delhi,Sixth Sense Ventures,Series B,5600000.00
Kuvera,Finance,Bengaluru,Eight Roads,Series A,45000000.00
Medlife,E-commerce,Bengaluru,Prasid Uno Family Trust,Private Equity,17000000.00
Kabadiwala,E-commerce,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,430665.00
Tripoto,Social Media,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,3591375.00
Azah,Health and Wellness,Gurugram,Unnamed angel investors,Seed Funding,200000.00
Setu,Fintech,Bengaluru,Lightspeed India Partners,Seed Funding,3500000.00
Toppr,Edtech,Mumbai,Milestone,Debt and Preference capital,6320820.00
Craftsvilla,E-commerce,Mumbai,Supera Pte Ltd,Inhouse Funding,2443495.00
Unacademy,Edtech,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,307000.00
CleverTap,SaaS,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,26000000.00
My Healthcare,E-commerce,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,3000000.00
KrazyBee,E-commerce,Bengaluru,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,14342000+
Shuttl,Transportation,Gurugram,New Atlantic Ventures,Venture Round,5000000.00
Increff,Technology,Bengaluru,"021 Capita, Binny Bansal",Series A,3000000.00
FleetX,AI,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre Series A,0.00
Zilingo,Ecommerce,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,226000000.00
NanoClean Global,Nanotechnology,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,600000.00
OyoRooms,Hospitality,Gurgaon,DiDi Chuxing,Equity,100000000.00
CarDekho,Automobile,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,110000000.00
Vyome Therapeutics Inc.,Health and Wellness,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,22000000.00
Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,5000000.00
Manch,Social Media,Delhi,Stellaris Venture Partners,Seed Funding,700000.00
UrbanClap Technologies Pvt. Ltd,Services Platform,New Delhi,Steadview Capital and Vy Capital.,Series D,50000000.00
Guiddoo,Travel Tech,Mumbai,Individual Investors,Pre-Series A,800000.00
Career Anna,Online Education,Gurugram,Individual Investors,Pre-Series A,572000.00
Nagpur Wholesale,Online Marketplace,Nagpur,Omphalos Ventures India LLP,Seed Funding,143000.00
ShopKirana,B2B,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,2000000.00
BuildSupply,"SaaS, Ecommerce",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,3500000.00
GoDesi,Food and Beverage,Bengaluru,Lead Angels Network,Seed/ Angel Funding,138995.00
Veritas Finance Ltd.,NBFC,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,27799000.00
Meesho,Ecommerce,Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures",Series C,50000000.00
Mobile Premier League,Gaming,Bengaluru,Undisclosed,Series A,500000.00
A&R Bon Vivants,Food,Jaipur,"RB Investments, Singapore",Equity,1000000.00
Blackbuck,Food Tech,"New York, Bengaluru",Tiger Global,Series A,1000000.00
MilkBAsket,Food,New Delhi,Mayfield Fund,Series B,1300000.00
DriveU,Transport,Bengaluru,Stevens Creek Ventures,Mezzanine,1000000.00
CleanseCar,Services,Bengaluru,Venture Catalysts,Seed/ Angel Funding,500000.00
Automation Anywhere,Automation,California,SoftBank Vision Fund,Series B,300000000.00
HealthifyMe,Health and Wellness,Bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),6000000.00
Genius Corner,Education,Noida,Individual investors,Seed Funding,278000.00
Aavishkaar-Intellecap Group,Investment,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,31000000.00
Skillbox,Social Network,Gurugram,Individual investors,Seed Funding,0.00
Signzy,Financial Tech,Mumbai/Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,3400000.00
Engineer.ai,Software,India/US,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,29500000.00
InCred Finance,Finance,India,"Paragon Partners, Individual Investors",Private Equity,42000000.00
Roposo,Social Media,Delhi,Bertelsmann India Investments,Series B,1700000.00
Northmist,Fashion,Delhi,Prashant Jaiswal,Seed/ Angel Funding,0.00
Origo Commodities India Pvt. Ltd,Logistics,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed/ Angel Funding,11000000.00
Grover Zampa,Food,Mumbai,Ravi Viswanathan,Private Equity,8200000.00
Droom,Automobile,Gurgaon,ZigExN,Series E,3000000.00
Innov8,Real Estate,New Delhi,Credence Family Office,Pre-Series A,4000000.00
Blackbuck,Logistics Tech,Bengaluru,Sequoia Capital India,Private Funding,14680000.00
LetsTransport,Logistics Tech,Bengaluru,Fosun International,Series C,12000000.00
Netmeds,Consumer Internet,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,35000000.00
Udaan,B2B Platform,Bengaluru,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity,225000000.00
Daily hunt,Consumer Internet,Bengaluru,Falcon Edge,Private Equity,6390000.00
3HCare,Healthcare,Delhi,Lighthouse,Seed / Angel Funding,1000000.00
HappyGoEasy,Consumer Internet,Gurugram,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private Equity,0.00
Nykaa,Consumer Internet,Mumbai,Lighthouse,Private Equity,157200000.00
Mad Street Den,Technology,Chennai,KDDI,Private Equity,0.00
Dream11,Consumer Internet,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,100000000.00
MamaEarth,Healthcare,Gurugram,Stellaris Ventures & Others,Private Equity,4000000.00
AutoGrid,Technology,Bengaluru,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity,32000000.00
Pharmeasy,Consumer Internet,Mumbai,InnoVen Capital,Debt Funding,5500000.00
Upwards,Fin-Tech,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,5000000.00
Kissht,Fin-Tech,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity,30000000.00
dishq,Food-Tech,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed/ Angel Funding,400000.00
HealthFin,Finance,Pune,"Axilor, Sprout Venture Partners and others",Seed/ Angel Funding,0.00
Samosa Labs,Consumer Internet,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,7000000.00
ZiffyHomes,Consumer Internet,Gurugram,Y Combinator,Private Equity,120000.00
My OmNamo,Consumer Internet,Mumbai,Y Combinator,Seed/ Angel Funding,1000000.00
ShopX,Consumer Internet,Bengaluru,Fung Strategic Holdings,Private Equity,35000000.00
MakeMyTrip,Consumer Internet,Gurugram,MakeMyTrip Limited,Private Equity,10000000.00
